コード,銘柄名,業種
2121.T,ＭＩＸＩ,情報・通信業
2307.T,クロスキャット,情報・通信業
2317.T,システナ,情報・通信業
2326.T,デジタルアーツ,情報・通信業
2327.T,日鉄ソリューションズ,情報・通信業
2335.T,キューブシステム,情報・通信業
2359.T,コア,情報・通信業
2432.T,ディー・エヌ・エー,情報・通信業
2930.T,北の達人コーポレーション,化学
3031.T,ラクーンホールディングス,情報・通信業
3040.T,ソリトンシステムズ,情報・通信業
3101.T,東洋紡,化学
3105.T,日清紡ホールディングス,電気機器
3371.T,ソフトクリエイトホールディングス,情報・通信業
3405.T,クラレ,化学
3407.T,旭化成,化学
3626.T,ＴＩＳ,情報・通信業
3632.T,グリーホールディングス,情報・通信業
3635.T,コーエーテクモホールディングス,情報・通信業
3636.T,三菱総合研究所,情報・通信業
3649.T,ファインデックス,情報・通信業
3656.T,ＫＬａｂ,情報・通信業
3657.T,ポールトゥウィンホールディングス,情報・通信業
3659.T,ネクソン,情報・通信業
3660.T,アイスタイル,情報・通信業
3661.T,エムアップホールディングス,情報・通信業
3662.T,エイチームホールディングス,情報・通信業
3663.T,セルシス,情報・通信業
3665.T,エニグモ,情報・通信業
3668.T,コロプラ,情報・通信業
3673.T,ブロードリーフ,情報・通信業
3676.T,デジタルハーツホールディングス,情報・通信業
3678.T,メディアドゥ,情報・通信業
3679.T,じげん,情報・通信業
3681.T,ブイキューブ,情報・通信業
3687.T,フィックスターズ,情報・通信業
3694.T,オプティム,情報・通信業
3696.T,セレス,情報・通信業
3697.T,ＳＨＩＦＴ,情報・通信業
3741.T,セック,情報・通信業
3762.T,テクマトリックス,情報・通信業
3763.T,プロシップ,情報・通信業
3765.T,ガンホー・オンライン・エンターテイメント,情報・通信業
3769.T,ＧＭＯペイメントゲートウェイ,情報・通信業
3771.T,システムリサーチ,情報・通信業
3774.T,インターネットイニシアティブ,情報・通信業
3778.T,さくらインターネット,情報・通信業
3788.T,ＧＭＯグローバルサイン・ホールディングス,情報・通信業
3817.T,ＳＲＡホールディングス,情報・通信業
3834.T,朝日ネット,情報・通信業
3835.T,ｅＢＡＳＥ,情報・通信業
3836.T,アバントグループ,情報・通信業
3837.T,アドソル日進,情報・通信業
3843.T,フリービット,情報・通信業
3844.T,コムチュア,情報・通信業
3853.T,アステリア,情報・通信業
3854.T,アイル,情報・通信業
3901.T,マークラインズ,情報・通信業
3902.T,メディカル・データ・ビジョン,情報・通信業
3903.T,ｇｕｍｉ,情報・通信業
3915.T,テラスカイ,情報・通信業
3916.T,デジタル・インフォメーション・テクノロジー,情報・通信業
3921.T,ネオジャパン,情報・通信業
3922.T,ＰＲ　ＴＩＭＥＳ,情報・通信業
3923.T,ラクス,情報・通信業
3925.T,ダブルスタンダード,情報・通信業
3932.T,アカツキ,情報・通信業
3939.T,カナミックネットワーク,情報・通信業
3962.T,チェンジホールディングス,情報・通信業
3963.T,シンクロ・フード,情報・通信業
3964.T,オークネット,情報・通信業
3968.T,セグエグループ,情報・通信業
3983.T,オロ,情報・通信業
3984.T,ユーザーローカル,情報・通信業
3992.T,ニーズウェル,情報・通信業
3993.T,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業
3994.T,マネーフォワード,情報・通信業
4004.T,レゾナック・ホールディングス,化学
4005.T,住友化学,化学
4008.T,住友精化,化学
4021.T,日産化学,化学
4022.T,ラサ工業,化学
4023.T,クレハ,化学
4025.T,多木化学,化学
4027.T,テイカ,化学
4028.T,石原産業,化学
4041.T,日本曹達,化学
4042.T,東ソー,化学
4043.T,トクヤマ,化学
4044.T,セントラル硝子,化学
4045.T,東亞合成,化学
4046.T,大阪ソーダ,化学
4047.T,関東電化工業,化学
4051.T,ＧＭＯフィナンシャルゲート,情報・通信業
4053.T,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,情報・通信業
4061.T,デンカ,化学
4062.T,イビデン,電気機器
4063.T,信越化学工業,化学
4064.T,日本カーバイド工業,化学
4071.T,プラスアルファ・コンサルティング,情報・通信業
4072.T,電算システムホールディングス,情報・通信業
4078.T,堺化学工業,化学
4082.T,第一稀元素化学工業,化学
4088.T,エア・ウォーター,化学
4091.T,日本酸素ホールディングス,化学
4092.T,日本化学工業,化学
4095.T,日本パーカライジング,化学
4097.T,高圧ガス工業,化学
4099.T,四国化成ホールディングス,化学
4109.T,ステラ　ケミファ,化学
4112.T,保土谷化学工業,化学
4114.T,日本触媒,化学
4116.T,大日精化工業,化学
4118.T,カネカ,化学
4180.T,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,情報・通信業
4182.T,三菱瓦斯化学,化学
4183.T,三井化学,化学
4186.T,東京応化工業,化学
4187.T,大阪有機化学工業,化学
4188.T,三菱ケミカルグループ,化学
4189.T,ＫＨネオケム,化学
4194.T,ビジョナル,情報・通信業
4202.T,ダイセル,化学
4203.T,住友ベークライト,化学
4204.T,積水化学工業,化学
4205.T,日本ゼオン,化学
4206.T,アイカ工業,化学
4208.T,ＵＢＥ,化学
4212.T,積水樹脂,化学
4216.T,旭有機材,化学
4218.T,ニチバン,化学
4220.T,リケンテクノス,化学
4221.T,大倉工業,化学
4228.T,積水化成品工業,化学
4229.T,群栄化学工業,化学
4246.T,ダイキョーニシカワ,化学
4249.T,森六,化学
4251.T,恵和,化学
4272.T,日本化薬,化学
4275.T,カーリット,化学
4307.T,野村総合研究所,情報・通信業
4323.T,日本システム技術,情報・通信業
4326.T,インテージホールディングス,情報・通信業
4344.T,ソースネクスト,情報・通信業
4362.T,日本精化,化学
4368.T,扶桑化学工業,化学
4369.T,トリケミカル研究所,化学
4373.T,シンプレクス・ホールディングス,情報・通信業
4384.T,ラクスル,情報・通信業
4385.T,メルカリ,情報・通信業
4390.T,ＩＰＳ,情報・通信業
4392.T,ＦＩＧ,情報・通信業
4396.T,システムサポートホールディングス,情報・通信業
4401.T,ＡＤＥＫＡ,化学
4403.T,日油,化学
4410.T,ハリマ化成グループ,化学
4413.T,ボードルア,情報・通信業
4432.T,ウイングアーク１ｓｔ,情報・通信業
4433.T,ヒト・コミュニケーションズ・ホールディングス,情報・通信業
4443.T,Ｓａｎｓａｎ,情報・通信業
4446.T,Ｌｉｎｋ－Ｕグループ,情報・通信業
4449.T,ギフティ,情報・通信業
4452.T,花王,化学
4461.T,第一工業製薬,化学
4462.T,石原ケミカル,化学
4471.T,三洋化成工業,化学
4480.T,メドレー,情報・通信業
4481.T,ベース,情報・通信業
4483.T,ＪＭＤＣ,情報・通信業
4543.T,テルモ,精密機器
4611.T,大日本塗料,化学
4612.T,日本ペイントホールディングス,化学
4613.T,関西ペイント,化学
4617.T,中国塗料,化学
4626.T,太陽ホールディングス,化学
4631.T,ＤＩＣ,化学
4633.T,サカタインクス,化学
4634.T,ａｒｔｉｅｎｃｅ,化学
4662.T,フォーカスシステムズ,情報・通信業
4674.T,クレスコ,情報・通信業
4676.T,フジ・メディア・ホールディングス,情報・通信業
4684.T,オービック,情報・通信業
4686.T,ジャストシステム,情報・通信業
4687.T,ＴＤＣソフト,情報・通信業
4689.T,ＬＩＮＥヤフー,情報・通信業
4704.T,トレンドマイクロ,情報・通信業
4709.T,ＩＤホールディングス,情報・通信業
4719.T,アルファシステムズ,情報・通信業
4722.T,フューチャー,情報・通信業
4725.T,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,情報・通信業
4733.T,オービックビジネスコンサルタント,情報・通信業
4743.T,アイティフォー,情報・通信業
4768.T,大塚商会,情報・通信業
4776.T,サイボウズ,情報・通信業
4812.T,電通総研,情報・通信業
4813.T,ＡＣＣＥＳＳ,情報・通信業
4819.T,デジタルガレージ,情報・通信業
4820.T,イーエムシステムズ,情報・通信業
4825.T,ウェザーニューズ,情報・通信業
4826.T,ＣＩＪ,情報・通信業
4828.T,ビジネスエンジニアリング,情報・通信業
4839.T,ＷＯＷＯＷ,情報・通信業
4845.T,スカラ,情報・通信業
4847.T,インテリジェント　ウェイブ,情報・通信業
4901.T,富士フイルムホールディングス,化学
4902.T,コニカミノルタ,電気機器
4911.T,資生堂,化学
4912.T,ライオン,化学
